lotka volterra,,,,,,,,,,,,,,,,,,,,,,,,,,
SMMD,,,,,,,,,Bayesflow,,,,,,,,,,,,,,,,,
ci_lengths_1,ci_lengths_2,ci_lengths_3,ci_lengths_4,ci_lengths_refined_1,ci_lengths_refined_2,ci_lengths_refined_3,ci_lengths_refined_4,,ci_lengths_1,ci_lengths_2,ci_lengths_3,ci_lengths_4,ci_lengths_refined_1,ci_lengths_refined_2,ci_lengths_refined_3,ci_lengths_refined_4,,,,,,,,,,
0.20576072,0.18629646,0.19884795,0.2895732,0.13112527,0.18194437,0.07514292,0.17122746,,0.14124718,0.31110764,0.10314357,0.37377596,0.089065865,0.12609196,0.058618605,0.15801096,,,,,,,,,,
0.15210938,0.3020978,0.25397563,0.29195976,0.13535112,0.1697979,0.18079954,0.14652872,,0.12555577,0.3289194,0.11449087,0.42842817,0.08796371,0.140203,0.050994217,0.21532774,,,,,,,,,,
0.18309355,0.18730783,0.16423142,0.25451756,0.19678058,0.25080156,0.11108869,0.27884483,,0.12674995,0.36848545,0.12594455,0.38149738,0.13931778,0.49032068,0.18528777,0.4632635,,,,,,,,,,
0.36089945,0.5470867,0.27174366,0.5377984,0.2991901,0.40556908,0.296466,0.666204,,0.11064556,0.37665272,0.098716915,0.3256116,0.06347997,0.15920019,0.057799518,0.2416668,,,,,,,,,,
0.14032316,0.20141411,0.19595456,0.21554613,0.14747134,0.1481762,0.062518656,0.19940042,,0.10830522,0.30882597,0.09888291,0.4201188,0.09952462,0.1707139,0.056058288,0.37564182,,,,,,,,,,
0.2088911,0.2474041,0.24970138,0.23656368,0.22062685,0.23033762,0.20949364,0.28597784,,0.12430045,0.31900597,0.1012516,0.33690357,0.0684503,0.14260435,0.040039003,0.16176319,,,,,,,,,,
0.3236796,0.21177816,0.23255664,0.44787788,0.3566457,0.304111,0.15785992,0.5404248,,0.11669835,0.3997569,0.09672719,0.3850026,0.08470999,0.18452692,0.060803294,0.20367193,,,SMMD,SMMD_refined,Bayesflow,Bayesflow_refined,MMD,MMD_refined,dnnabc,w2
0.19251275,0.26174784,0.18769372,0.31595325,0.19217277,0.22201824,0.083152115,0.29772472,,0.12412909,0.3590355,0.08960694,0.33813286,0.07141242,0.24393845,0.062924564,0.17671967,,ci_1,0.215761135,0.196011859,0.119660883,0.085325243,0.294242686,0.159206398,1.602988989,2.295371007
0.16993654,0.26260662,0.20355606,0.17265129,0.15071711,0.23186207,0.07755858,0.2307992,,0.10939391,0.34542084,0.10432041,0.35376453,0.08225027,0.14125729,0.04669237,0.18095636,,ci_2,0.264337299,0.228924561,0.344656563,0.190181685,0.290891314,0.203336429,1.122219765,6.766541697
0.2204051,0.23563337,0.1954186,0.2755289,0.13003775,0.14462757,0.049096286,0.14207983,,0.10958335,0.32935524,0.09045893,0.34926558,0.0670775,0.10296011,0.050416946,0.24210072,,ci_3,0.215367962,0.130317635,0.102354389,0.066963458,0.306609551,0.148134853,1.577064637,2.348270161
,,,,,,,,,,,,,,,,,,ci_4,0.303797005,0.295921182,0.369250105,0.241912269,0.274011849,0.300171706,1.33264298,6.794941698
0.215761135,0.264337299,0.215367962,0.303797005,0.196011859,0.228924561,0.130317635,0.295921182,,0.119660883,0.344656563,0.102354389,0.369250105,0.085325243,0.190181685,0.066963458,0.241912269,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
DNNABC,,,,,,,,,W2,,,,,,,,,,,,,,,,,
Credible_Interval_Length_Theta1,Credible_Interval_Length_Theta2,Credible_Interval_Length_Theta3,Credible_Interval_Length_Theta4,,,,,,interval_length_theta1,interval_length_theta2,interval_length_theta3,interval_length_theta4,,,,,,,,,,,,,,
1.541935482,1.073221786,1.594516291,1.166958624,,,,,,2.053654595,6.700829792,1.801130239,6.71008701,,,,,,,,,,,,,,
1.338832438,1.158159647,1.697378906,1.493276947,,,,,,2.294130779,6.795655077,2.044063208,6.847854162,,,,,,,,,,,,,,
1.842405738,0.90442365,1.325346482,1.603005674,,,,,,2.344216871,6.788855845,2.295798533,6.81901315,,,,,,,,,,,,,,
1.573554884,1.186343001,1.469247963,1.108311832,,,,,,2.439682154,6.791263268,2.438289025,6.831402404,,,,,,,,,,,,,,
1.412195079,0.952175935,1.272822706,1.335064699,,,,,,2.416841046,6.735522658,2.863387149,6.826276706,,,,,,,,,,,,,,
1.717601325,1.229055614,1.871867439,1.205323458,,,,,,2.166535409,6.787683841,2.012116649,6.79989497,,,,,,,,,,,,,,
1.698409175,1.14121622,1.655929328,1.309641284,,,,,,2.492773592,6.73782467,3.243535239,6.834512547,,,,,,,,,,,,,,
1.461811049,1.281170558,1.495984639,1.368665182,,,,,,2.104082987,6.791943923,1.702564068,6.705638998,,,,,,,,,,,,,,
1.765931367,1.240302763,1.67970415,1.30769169,,,,,,2.205690867,6.836646855,2.10039669,6.77228033,,,,,,,,,,,,,,
1.677213356,1.056128474,1.707848461,1.428490414,,,,,,2.436101769,6.699191036,2.981420808,6.802456698,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
1.602988989,1.122219765,1.577064637,1.33264298,,,,,,2.295371007,6.766541697,2.348270161,6.794941698,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
MMD,,,,,,,,,,SMMD,SMMD_refined,Bayesflow,Bayesflow_refined,MMD,MMD_refined,dnnabc,w2,,,,,,,,,
ci_lengths_1,ci_lengths_2,ci_lengths_3,ci_lengths_4,ci_lengths_refined_1,ci_lengths_refined_2,ci_lengths_refined_3,ci_lengths_refined_4,,ci_1,2.16,1.96,1.2,0.85,2.94,1.59,16.03,22.95,,,,,,,,,
0.28748536,0.32844353,0.36111093,0.21185827,0.18441471,0.27346897,0.24323004,0.39992714,,ci_2,2.64,2.29,3.45,1.9,2.91,2.03,11.22,67.67,,,,,,,,,
0.35782933,0.28526163,0.37408203,0.35426474,0.21715307,0.20923471,0.2739671,0.3079791,,ci_3,2.15,1.3,1.02,0.67,3.07,1.48,15.77,23.48,,,,,,,,,
0.4181049,0.28684855,0.2923278,0.30091,0.16463995,0.18468237,0.07309747,0.39574766,,ci_4,3.04,2.96,3.69,2.42,2.74,3,13.33,67.95,,,,,,,,,
0.2736045,0.28277445,0.35164833,0.2229824,0.20463559,0.2456708,0.13095504,0.29147863,,,,,,,,,,,,,,,,,,,
0.22006267,0.2957306,0.20955157,0.29884338,0.13763893,0.19016075,0.18657285,0.25189638,,,,,,,,,,,,,,,,,,,
0.30009913,0.26963854,0.20329803,0.32497358,0.15872267,0.17302322,0.06921089,0.36432648,,,,,,,,,,,,,,,,,,,
0.34458435,0.23015928,0.28552914,0.24647903,0.09639117,0.23157883,0.06830764,0.1893506,,,,,,,,,,,,,,,,,,,
0.25503135,0.3263049,0.346856,0.29835796,0.15335764,0.20568848,0.09057963,0.315495,,,,,,,,,,,,,,,,,,,
0.22912681,0.31129074,0.3101859,0.23222923,0.08508838,0.14122915,0.25647354,0.24806881,,,,,,,,,,,,,,,,,,,
0.25649846,0.29246092,0.33150578,0.2492199,0.19002187,0.17862701,0.08895433,0.23744726,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.294242686,0.290891314,0.306609551,0.274011849,0.159206398,0.203336429,0.148134853,0.300171706,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
SIR,,,,,,,,,,,,,,,,,,,,,,,,,,
SMMD,,,,,Bayesflow,,,,,DNNABC,,,,,W2,,,,,MMD,,,,,,
ci_length_1,ci_length_2,ci_length_refined_1,ci_length_refined_2,,ci_length_1,ci_length_2,ci_length_refined_1,ci_length_refined_2,,ci_length_1,ci_length_2,,,,ci_length_1,ci_length_2,,,,ci_length_1,ci_length_2,ci_length_refined_1,ci_length_refined_2,,,
0.046495765,0.051880747,0.026039243,0.031917885,,0.04505518,0.04596229,0.04295945,0.042780116,,0.11001074,0.11358901,,,,0.345262136,0.281082025,,,,0.059016496,0.08813134,0.024276495,0.031931818,,,
0.068923354,0.05710244,0.036107063,0.04449498,,0.04648763,0.05070658,0.04129967,0.044243857,,0.08843315,0.064473525,,,,0.279662016,0.225309444,,,,0.07095215,0.08695009,0.02451536,0.031945974,,,
0.037379175,0.09859112,0.024926811,0.032576784,,0.0541375,0.047737673,0.04080403,0.043547273,,0.08474469,0.08875504,,,,0.33348224,0.266194593,,,,0.08696848,0.069828376,0.039159864,0.051006064,,,
0.061222404,0.058494598,0.021790922,0.025502548,,0.04879272,0.0479953,0.043875545,0.043906257,,0.044998527,0.05496476,,,,0.335313734,0.263993914,,,,0.08044425,0.08840759,0.024033785,0.030312777,,,
0.048681587,0.06066768,0.027653217,0.029683188,,0.04788816,0.04867407,0.041582316,0.04366386,,0.06800771,0.0655541,,,,0.260370172,0.212467252,,,,0.087192714,0.09056449,0.035791695,0.047031328,,,
0.043376863,0.0640226,0.023016125,0.032883152,,0.047374874,0.049999245,0.0426282,0.04310917,,0.058286667,0.067571156,,,,0.31412382,0.25132475,,,,0.07223669,0.06349179,0.020326704,0.022500172,,,
0.083510876,0.07596335,0.028202593,0.037382662,,0.04782915,0.04913111,0.042238146,0.042870134,,0.077200234,0.069908306,,,,0.298956674,0.234672902,,,,0.0833464,0.083839834,0.019963294,0.02711083,,,
0.060738623,0.054083988,0.022925138,0.033129886,,0.06231451,0.06270487,0.047531962,0.04983428,,0.08188498,0.06355879,,,,0.300204085,0.241237053,,,,0.11840859,0.10932793,0.022680283,0.030490935,,,
0.06498918,0.055581957,0.023765653,0.02331692,,0.042289943,0.042861193,0.041047722,0.04206437,,0.0800764,0.08335168,,,,0.289761546,0.221791882,,,,0.06251189,0.08350071,0.032293677,0.046496496,,,
0.08008894,0.09302093,0.021248281,0.025112152,,0.038085222,0.04272209,0.042147875,0.04399898,,0.08402833,0.066710845,,,,0.304221459,0.241324752,,,,0.08044532,0.079217464,0.12178075,0.14725848,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.059540677,0.066940941,0.025567505,0.031600016,,0.048025489,0.048849442,0.042611492,0.04400183,,0.077767143,0.073843721,,,,0.306135788,0.243939857,,,,0.080152298,0.084325961,0.036482191,0.046608487,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,SMMD,SMMD_refined,Bayesflow,Bayesflow_refined,MMD,MMD_refined,dnnabc,w2,,,,,,,,,,,,,,,,,,
ci_1,0.059540677,0.025567505,0.048025489,0.042611492,0.080152298,0.036482191,0.077767143,0.306135788,,,,,,,,,,,,,,,,,,
ci_2,0.066940941,0.031600016,0.048849442,0.04400183,0.084325961,0.046608487,0.073843721,0.243939857,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,SMMD,SMMD_refined,Bayesflow,Bayesflow_refined,MMD,MMD_refined,dnnabc,w2,,,,,,,,,,,,,,,,,,
ci_1,5.95,2.56,4.8,4.26,8.02,3.65,7.78,30.61,,,,,,,,,,,,,,,,,,
ci_2,6.69,3.16,4.88,4.4,8.43,4.66,7.38,24.39,,,,,,,,,,,,,,,,,,
